,出現7次,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
0,8163達方,2353宏碁,2382廣達,2454聯發科,2317鴻海,2002中鋼,2610華航,9930中聯資源,1101台泥,2330台積電,2330台積電,,1303南亞,1303南亞,2002中鋼,1301台塑,2317鴻海,2317鴻海
1,,6230超眾,2327國巨,3711日月光投控,1303南亞,4904遠傳,2031新光鋼,2704國賓,4938和碩,2317鴻海,2454聯發科,,2891中信金,2002中鋼,2327國巨,3008大立光,2454聯發科,2454聯發科
2,,3006晶豪科,2409友達,6409旭隼,3008大立光,2603長榮,,,1402遠東新,2454聯發科,2303聯電,,2382廣達,1101台泥,2409友達,1216統一,2412中華電,2412中華電
3,,,2492華新科,2383台光電,2002中鋼,4958臻鼎-KY,,,1476儒鴻,3008大立光,3008大立光,,6415矽力-KY,2409友達,3481群創,2891中信金,2308台達電,2308台達電
4,,,6561是方,8069元太,5880合庫金,6409旭隼,,,2615萬海,2886兆豐金,2886兆豐金,,6409旭隼,2105正新,2492華新科,2885元大金,1301台塑,3711日月光投控
5,,,3703欣陸,2376技嘉,2885元大金,4743合一,,,2618長榮航,3711日月光投控,3711日月光投控,,8454富邦媒,2606裕民,2344華邦電,2409友達,1303南亞,2382廣達
6,,,2481強茂,5820日盛金,2880華南金,2227裕日車,,,1229聯華,2382廣達,2382廣達,,2356英業達,6182合晶,2823中壽,2105正新,1216統一,5880合庫金
7,,,6191精成科,6147頎邦,2603長榮,2610華航,,,1802台玻,5880合庫金,5880合庫金,,9914美利達,2637慧洋-KY,4966譜瑞-KY,2823中壽,3711日月光投控,2327國巨
8,,,3707漢磊,2449京元電子,2105正新,2609陽明,,,2027大成鋼,2327國巨,2327國巨,,5274信驊,9939宏全,2337旺宏,9904寶成,2207和泰車,2885元大金
9,,,8213志超,2812台中銀,3481群創,5903全家,,,6116彩晶,2880華南金,2880華南金,,5904寶雅,3260威剛,2353宏碁,2353宏碁,2382廣達,5871中租-KY
10,,,2727王品,6116彩晶,1476儒鴻,2923鼎固-KY,,,3036文曄,5876上海商銀,2492華新科,,8069元太,1598岱宇,5274信驊,2360致茂,6488環球晶,6415矽力-KY
11,,,6284佳邦,2006東和鋼鐵,2615萬海,2809京城銀,,,9933中鼎,2474可成,6239力成,,5522遠雄,1702南僑,2352佳世達,3702大聯大,2408南亞科,3034聯詠
12,,,3090日電貿,5264鎧勝-KY,2344華邦電,2015豐興,,,8415大國鋼,2883開發金,2353宏碁,,5264鎧勝-KY,6643M31,2376技嘉,1605華新,2327國巨,2379瑞昱
13,,,,3036文曄,2324仁寶,2812台中銀,,,2451創見,2301光寶科,2834臺企銀,,1904正隆,,6213聯茂,5903全家,2885元大金,2357華碩
14,,,,2456奇力新,2356英業達,2404漢唐,,,1909榮成,2492華新科,3406玉晶光,,6274台燿,,6147頎邦,1504東元,2880華南金,1590亞德客-KY
15,,,,1909榮成,2360致茂,6116彩晶,,,6446藥華藥,2324仁寶,1605華新,,9933中鼎,,2449京元電子,2376技嘉,5871中租-KY,2603長榮
16,,,,5306桂盟,3702大聯大,9917中保科,,,1440南紡,6239力成,1504東元,,2059川湖,,1477聚陽,1907永豐餘,3034聯詠,2409友達
17,,,,6182合晶,1605華新,1314中石化,,,6561是方,2353宏碁,1229聯華,,1503士電,,2458義隆,2449京元電子,2357華碩,3481群創
18,,,,2362藍天,2609陽明,3706神達,,,2231為升,2834臺企銀,2383台光電,,1723中碳,,3661世芯-KY,2006東和鋼鐵,2603長榮,2890永豐金
19,,,,3596智易,2352佳世達,4123晟德,,,2501國建,8299群聯,3293鈊象,,1513中興電,,3189景碩,3189景碩,2409友達,2049上銀
20,,,,8016矽創,1504東元,2849安泰銀,,,1808潤隆,3406玉晶光,5820日盛金,,6214精誠,,5264鎧勝-KY,2106建大,2105正新,1476儒鴻
21,,,,3264欣銓,1802台玻,4128中天,,,2867三商壽,1605華新,1717長興,,4147中裕,,6732昇佳電子,2606裕民,3481群創,2492華新科
22,,,,2393億光,2313華通,6446藥華藥,,,2607榮運,1504東元,5522遠雄,,2362藍天,,2368金像電,2634漢翔,3037欣興,2615萬海
23,,,,2515中工,3023信邦,1503士電,,,2608嘉里大榮,2383台光電,6147頎邦,,3596智易,,8086宏捷科,1304台聚,2049上銀,2344華邦電
24,,,,2913農林,1907永豐餘,8341日友,,,6547高端疫苗,2313華通,2812台中銀,,6230超眾,,1304台聚,3081聯亞,4958臻鼎-KY,2377微星
25,,,,1515力山,2458義隆,2388威盛,,,2362藍天,8069元太,2201裕隆,,8422可寧衛,,8150南茂,8436大江,1476儒鴻,9921巨大
26,,,,8358金居,3189景碩,3081聯亞,,,3324雙鴻,3023信邦,2006東和鋼鐵,,1710東聯,,2498宏達電,2104國際中橡,2492華新科,8464億豐
27,,,,2031新光鋼,3706神達,1507永大,,,2511太子,3293鈊象,2845遠東銀,,3006晶豪科,,4968立積,4142國光生,2615萬海,2324仁寶
28,,,,3131弘塑,6274台燿,6561是方,,,2332友訊,5820日盛金,3706神達,,3703欣陸,,1785光洋科,6214精誠,2344華邦電,6409旭隼
29,,,,2401凌陽,2439美律,1707葡萄王,,,6230超眾,6147頎邦,6274台燿,,6582申豐,,2014中鴻,6414樺漢,2377微星,4743合一
30,,,,1614三洋電,2634漢翔,6214精誠,,,3380明泰,1907永豐餘,3036文曄,,2515中工,,9938百和,5469瀚宇博,9921巨大,2356英業達
