,出現7次,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,6230超眾,2327國巨,2382廣達,2454聯發科,2317鴻海,2610華航,,6505台塑化,1301台塑,2317鴻海
1,,2353宏碁,2409友達,3711日月光投控,3008大立光,2031新光鋼,,2002中鋼,3008大立光,2454聯發科
2,,8163達方,2492華新科,6409旭隼,5880合庫金,,,2345智邦,1216統一,2412中華電
3,,,2324仁寶,2360致茂,2885元大金,,,2409友達,2891中信金,2308台達電
4,,,2383台光電,2313華通,2880華南金,,,3037欣興,2885元大金,3711日月光投控
5,,,5820日盛金,8069元太,3481群創,,,2324仁寶,2409友達,2382廣達
6,,,2449京元電子,2376技嘉,2344華邦電,,,3532台勝科,2105正新,5880合庫金
7,,,3006晶豪科,6213聯茂,3702大聯大,,,6116彩晶,2823中壽,2327國巨
8,,,3703欣陸,6147頎邦,8299群聯,,,2606裕民,9904寶成,2885元大金
9,,,6191精成科,2812台中銀,1605華新,,,2204中華,2353宏碁,5871中租-KY
10,,,3707漢磊,6116彩晶,2609陽明,,,2634漢翔,2360致茂,6415矽力-KY
11,,,2031新光鋼,2006東和鋼鐵,2352佳世達,,,6182合晶,3702大聯大,3034聯詠
12,,,8213志超,5264鎧勝-KY,1504東元,,,2637慧洋-KY,1605華新,2379瑞昱
13,,,2727王品,2456奇力新,3023信邦,,,3260威剛,5903全家,2357華碩
14,,,6284佳邦,2634漢翔,1907永豐餘,,,1702南僑,1504東元,1590亞德客-KY
15,,,,8341日友,2458義隆,,,5471松翰,2376技嘉,2603長榮
16,,,,6561是方,3189景碩,,,6643M31,1907永豐餘,2409友達
17,,,,2014中鴻,3706神達,,,6223旺矽,2449京元電子,3481群創
18,,,,5306桂盟,6274台燿,,,,2006東和鋼鐵,2890永豐金
19,,,,6182合晶,3036文曄,,,,3189景碩,2049上銀
20,,,,1232大統益,2439美律,,,,2106建大,1476儒鴻
21,,,,3596智易,1909榮成,,,,2606裕民,2492華新科
22,,,,8016矽創,1304台聚,,,,2634漢翔,2615萬海
23,,,,2481強茂,1503士電,,,,1304台聚,2344華邦電
24,,,,2393億光,2104國際中橡,,,,3081聯亞,2377微星
25,,,,2908特力,6214精誠,,,,8436大江,9921巨大
26,,,,1515力山,5469瀚宇博,,,,2104國際中橡,8464億豐
27,,,,8358金居,1785光洋科,,,,4142國光生,2324仁寶
28,,,,2850新產,1808潤隆,,,,6214精誠,6409旭隼
29,,,,3131弘塑,9940信義,,,,6414樺漢,4743合一
30,,,,2401凌陽,6196帆宣,,,,5469瀚宇博,2356英業達
31,,,,8210勤誠,2362藍天,,,,5306桂盟,2354鴻準
32,,,,1614三洋電,3264欣銓,,,,6182合晶,2353宏碁
33,,,,3090日電貿,3218大學光,,,,3596智易,2360致茂
34,,,,5287數字,6443元晶,,,,2103台橡,3702大聯大
35,,,,,3026禾伸堂,,,,3026禾伸堂,6121新普
36,,,,,2637慧洋-KY,,,,6230超眾,2385群光
37,,,,,1710東聯,,,,2637慧洋-KY,3044健鼎
38,,,,,3010華立,,,,1710東聯,2609陽明
39,,,,,4961天鈺,,,,3006晶豪科,2542興富發
40,,,,,4157太景*-KY,,,,3703欣陸,1227佳格
41,,,,,6582申豐,,,,2393億光,2352佳世達
42,,,,,5007三星,,,,5007三星,1802台玻
43,,,,,2913農林,,,,1903士紙,2383台光電
44,,,,,1702南僑,,,,2367燿華,2313華通
45,,,,,4919新唐,,,,2908特力,8069元太
46,,,,,1218泰山,,,,1515力山,3023信邦
47,,,,,1309台達化,,,,6191精成科,3533嘉澤
48,,,,,3211順達,,,,1444力麗,2376技嘉
49,,,,,6244茂迪,,,,1308亞聚,5820日盛金
50,,,,,3228金麗科,,,,6244茂迪,3529力旺
51,,,,,2375凱美,,,,8163達方,6592和潤企業
52,,,,,8039台虹,,,,2031新光鋼,6269台郡
53,,,,,6173信昌電,,,,9930中聯資源,2458義隆
54,,,,,2836高雄銀,,,,9911櫻花,6116彩晶
55,,,,,5471松翰,,,,2836高雄銀,3661世芯-KY
56,,,,,6643M31,,,,4532瑞智,2889國票金
57,,,,,3450聯鈞,,,,3450聯鈞,5264鎧勝-KY
58,,,,,2489瑞軒,,,,2489瑞軒,6278台表科
59,,,,,2417圓剛,,,,2727王品,3152璟德
60,,,,,1560中砂,,,,6605帝寶,2838聯邦銀
61,,,,,1589永冠-KY,,,,1614三洋電,6271同欣電
62,,,,,,,,,2102泰豐,3665貿聯-KY
63,,,,,,,,,2534宏盛,3036文曄
64,,,,,,,,,8917欣泰,6285啟碁
65,,,,,,,,,3049和鑫,6531愛普
66,,,,,,,,,3090日電貿,2108南帝
67,,,,,,,,,5508永信建,2456奇力新
68,,,,,,,,,,6005群益證
69,,,,,,,,,,3005神基
70,,,,,,,,,,1736喬山
71,,,,,,,,,,6412群電
72,,,,,,,,,,4174浩鼎
73,,,,,,,,,,6446藥華藥
74,,,,,,,,,,8341日友
75,,,,,,,,,,1507永大
76,,,,,,,,,,6561是方
77,,,,,,,,,,2855統一證
78,,,,,,,,,,6414樺漢
79,,,,,,,,,,6146耕興
80,,,,,,,,,,5469瀚宇博
81,,,,,,,,,,2501國建
82,,,,,,,,,,1789神隆
83,,,,,,,,,,1785光洋科
84,,,,,,,,,,5306桂盟
85,,,,,,,,,,1808潤隆
86,,,,,,,,,,9940信義
87,,,,,,,,,,6196帆宣
88,,,,,,,,,,1232大統益
89,,,,,,,,,,3016嘉晶
90,,,,,,,,,,6548長科*
91,,,,,,,,,,2428興勤
92,,,,,,,,,,6491晶碩
93,,,,,,,,,,1795美時
94,,,,,,,,,,3680家登
95,,,,,,,,,,3596智易
96,,,,,,,,,,5388中磊
97,,,,,,,,,,3324雙鴻
98,,,,,,,,,,3218大學光
99,,,,,,,,,,4551智伸科
100,,,,,,,,,,6443元晶
101,,,,,,,,,,3026禾伸堂
102,,,,,,,,,,6230超眾
103,,,,,,,,,,3010華立
104,,,,,,,,,,3413京鼎
105,,,,,,,,,,4961天鈺
106,,,,,,,,,,2481強茂
107,,,,,,,,,,2393億光
108,,,,,,,,,,4157太景*-KY
109,,,,,,,,,,6582申豐
110,,,,,,,,,,1598岱宇
111,,,,,,,,,,2515中工
112,,,,,,,,,,4935茂林-KY
113,,,,,,,,,,9925新保
114,,,,,,,,,,4536拓凱
115,,,,,,,,,,3708上緯投控
116,,,,,,,,,,2913農林
117,,,,,,,,,,6504南六
118,,,,,,,,,,2908特力
119,,,,,,,,,,2421建準
120,,,,,,,,,,4919新唐
121,,,,,,,,,,1218泰山
122,,,,,,,,,,1515力山
123,,,,,,,,,,1234黑松
124,,,,,,,,,,6191精成科
125,,,,,,,,,,2387精元
126,,,,,,,,,,3211順達
127,,,,,,,,,,3707漢磊
128,,,,,,,,,,2850新產
129,,,,,,,,,,8163達方
130,,,,,,,,,,2031新光鋼
131,,,,,,,,,,1609大亞
132,,,,,,,,,,8213志超
133,,,,,,,,,,3228金麗科
134,,,,,,,,,,2478大毅
135,,,,,,,,,,2375凱美
136,,,,,,,,,,3131弘塑
137,,,,,,,,,,6173信昌電
138,,,,,,,,,,3014聯陽
139,,,,,,,,,,4576大銀微系統
140,,,,,,,,,,5471松翰
141,,,,,,,,,,6472保瑞
142,,,,,,,,,,6706惠特
143,,,,,,,,,,4906正文
144,,,,,,,,,,1582信錦
145,,,,,,,,,,3078僑威
146,,,,,,,,,,2401凌陽
147,,,,,,,,,,3450聯鈞
148,,,,,,,,,,1256鮮活果汁-KY
149,,,,,,,,,,3022威強電
150,,,,,,,,,,3217優群
151,,,,,,,,,,8210勤誠
152,,,,,,,,,,2489瑞軒
153,,,,,,,,,,1614三洋電
154,,,,,,,,,,2340光磊
155,,,,,,,,,,2417圓剛
156,,,,,,,,,,6284佳邦
157,,,,,,,,,,1560中砂
158,,,,,,,,,,3090日電貿
159,,,,,,,,,,5287數字
160,,,,,,,,,,5508永信建
161,,,,,,,,,,1589永冠-KY
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
