,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2353宏碁,2382廣達,2454聯發科,2317鴻海,2610華航,,1590亞德客-KY,1301台塑,2317鴻海
1,2383台光電,2327國巨,3711日月光投控,1303南亞,4968立積,,2883開發金,1303南亞,2454聯發科
2,2014中鴻,2492華新科,3037欣興,3008大立光,2031新光鋼,,3037欣興,2882國泰金,2412中華電
3,8163達方,2376技嘉,2823中壽,5880合庫金,2009第一銅,,5269祥碩,1326台化,2308台達電
4,2031新光鋼,2449京元電子,6409旭隼,2880華南金,4306炎洲,,5483中美晶,3008大立光,3711日月光投控
5,,2456奇力新,4966譜瑞-KY,2603長榮,,,8299群聯,2002中鋼,2382廣達
6,,3218大學光,3702大聯大,2105正新,,,2609陽明,2891中信金,5880合庫金
7,,3703欣陸,1605華新,3481群創,,,5274信驊,5876上海商銀,2327國巨
8,,8358金居,2609陽明,2049上銀,,,1504東元,9910豐泰,2885元大金
9,,3707漢磊,2352佳世達,2344華邦電,,,2376技嘉,2603長榮,5871中租-KY
10,,3131弘塑,3533嘉澤,2377微星,,,2441超豐,1402遠東新,6415矽力-KY
11,,2401凌陽,5820日盛金,5483中美晶,,,1702南僑,2105正新,3034聯詠
12,,2727王品,6147頎邦,8464億豐,,,2031新光鋼,2890永豐金,2379瑞昱
13,,6284佳邦,2812台中銀,2324仁寶,,,,2823中壽,2357華碩
14,,,2006東和鋼鐵,6239力成,,,,5483中美晶,1590亞德客-KY
15,,,5264鎧勝-KY,2360致茂,,,,9904寶成,2603長榮
16,,,3706神達,5274信驊,,,,4966譜瑞-KY,2409友達
17,,,3036文曄,1504東元,,,,6239力成,3481群創
18,,,6561是方,2313華通,,,,3702大聯大,2890永豐金
19,,,4968立積,8069元太,,,,1605華新,2049上銀
20,,,6196帆宣,3023信邦,,,,5903全家,1476儒鴻
21,,,1232大統益,3293鈊象,,,,2352佳世達,2492華新科
22,,,8016矽創,1907永豐餘,,,,2383台光電,2615萬海
23,,,3264欣銓,2201裕隆,,,,1722台肥,2344華邦電
24,,,3026禾伸堂,2458義隆,,,,1434福懋,2377微星
25,,,6230超眾,6116彩晶,,,,3293鈊象,9921巨大
26,,,3010華立,6271同欣電,,,,2376技嘉,8464億豐
27,,,3006晶豪科,2439美律,,,,1907永豐餘,2324仁寶
28,,,2481強茂,2606裕民,,,,2449京元電子,6409旭隼
29,,,2393億光,2634漢翔,,,,1314中石化,4743合一
30,,,8406金可-KY,3227原相,,,,2006東和鋼鐵,2356英業達
31,,,2908特力,1909榮成,,,,3036文曄,2354鴻準
32,,,6191精成科,2723美食-KY,,,,2106建大,2353宏碁
33,,,3035智原,8341日友,,,,2606裕民,2360致茂
34,,,8213志超,8150南茂,,,,2368金像電,3702大聯大
35,,,8210勤誠,2104國際中橡,,,,2634漢翔,6121新普
36,,,3090日電貿,5306桂盟,,,,1304台聚,2385群光
37,,,5287數字,1808潤隆,,,,3081聯亞,3044健鼎
38,,,,9940信義,,,,8150南茂,2609陽明
39,,,,4961天鈺,,,,2104國際中橡,2542興富發
40,,,,4157太景*-KY,,,,6414樺漢,1227佳格
41,,,,2913農林,,,,2014中鴻,2352佳世達
42,,,,1702南僑,,,,6196帆宣,1802台玻
43,,,,1515力山,,,,3016嘉晶,2383台光電
44,,,,2851中再保,,,,2455全新,2313華通
45,,,,1309台達化,,,,3673TPK-KY,8069元太
46,,,,3211順達,,,,3026禾伸堂,3023信邦
47,,,,6244茂迪,,,,6230超眾,3533嘉澤
48,,,,2850新產,,,,2637慧洋-KY,2376技嘉
