,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2886兆豐金,2454聯發科,,,2454聯發科,,
1,,2382廣達,,,6488環球晶,,
2,,5880合庫金,,,2408南亞科,,
3,,2880華南金,,,6415矽力-KY,,
4,,6239力成,,,3034聯詠,,
5,,2834臺企銀,,,5347世界,,
6,,1504東元,,,4938和碩,,
7,,5820日盛金,,,9910豐泰,,
8,,1907永豐餘,,,3105穩懋,,
9,,2812台中銀,,,6669緯穎,,
10,,3036文曄,,,5269祥碩,,
11,,1312國喬,,,2344華邦電,,
12,,8406金可-KY,,,5483中美晶,,
13,,3131弘塑,,,2324仁寶,,
14,,,,,3231緯創,,
15,,,,,2347聯強,,
16,,,,,2337旺宏,,
17,,,,,3702大聯大,,
18,,,,,3044健鼎,,
19,,,,,2542興富發,,
20,,,,,6176瑞儀,,
21,,,,,1434福懋,,
22,,,,,3533嘉澤,,
23,,,,,3374精材,,
24,,,,,3529力旺,,
25,,,,,5522遠雄,,
26,,,,,2809京城銀,,
27,,,,,3443創意,,
28,,,,,1907永豐餘,,
29,,,,,2458義隆,,
30,,,,,2404漢唐,,
31,,,,,2915潤泰全,,
32,,,,,6456GIS-KY,,
33,,,,,6278台表科,,
34,,,,,3036文曄,,
35,,,,,2441超豐,,
36,,,,,2108南帝,,
37,,,,,3005神基,,
38,,,,,8150南茂,,
39,,,,,2498宏達電,,
40,,,,,6182合晶,,
41,,,,,1312國喬,,
42,,,,,1795美時,,
43,,,,,3380明泰,,
44,,,,,2351順德,,
45,,,,,8406金可-KY,,
46,,,,,2338光罩,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
