,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2880華南金,2330台積電,2303聯電,2883開發金,,2330台積電,,
1,,5820日盛金,2882國泰金,3529力旺,,1301台塑,,
2,,2915潤泰全,3008大立光,4961天鈺,,2303聯電,,
3,,2845遠東銀,2886兆豐金,3260威剛,,2882國泰金,,
4,,,5880合庫金,,,2881富邦金,,
5,,,1101台泥,,,2886兆豐金,,
6,,,2883開發金,,,2002中鋼,,
7,,,6239力成,,,5880合庫金,,
8,,,2834臺企銀,,,1101台泥,,
9,,,2383台光電,,,2880華南金,,
10,,,2812台中銀,,,2801彰銀,,
11,,,6561是方,,,1102亞泥,,
12,,,3264欣銓,,,2883開發金,,
13,,,3703欣陸,,,8046南電,,
14,,,8406金可-KY,,,5269祥碩,,
15,,,3035智原,,,2615萬海,,
16,,,3131弘塑,,,2377微星,,
17,,,2836高雄銀,,,9921巨大,,
18,,,1604聲寶,,,3231緯創,,
19,,,8210勤誠,,,2356英業達,,
20,,,,,,3702大聯大,,
21,,,,,,1434福懋,,
22,,,,,,3374精材,,
23,,,,,,5522遠雄,,
24,,,,,,2809京城銀,,
25,,,,,,2015豐興,,
26,,,,,,2404漢唐,,
27,,,,,,2915潤泰全,,
28,,,,,,3189景碩,,
29,,,,,,2723美食-KY,,
30,,,,,,2455全新,,
31,,,,,,8406金可-KY,,
32,,,,,,4919新唐,,
33,,,,,,3035智原,,
34,,,,,,1609大亞,,
35,,,,,,6706惠特,,
36,,,,,,6411晶焱,,
37,,,,,,5287數字,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
