,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-01-10),近12月累積營收年增率連2個月增加(2022-01-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('6415矽力-KY', 10)",3078僑威,1789神隆,2328廣宇,2328廣宇,1104環泥,2303聯電,2330台積電,1104環泥,2501國建,6223旺矽,2474可成,1789神隆,2886兆豐金,2328廣宇,3260威剛,1210大成,3105穩懋,,6415矽力-KY,
1,"('5347世界', 10)",2428興勤,2723美食-KY,1789神隆,1789神隆,5469瀚宇博,2886兆豐金,6505台塑化,1304台聚,1710東聯,2375凱美,6147頎邦,2886兆豐金,3078僑威,3312弘憶股,2618長榮航,1319東陽,3532台勝科,,,
2,"('2408南亞科', 10)",9930中聯資源,1102亞泥,1104環泥,2886兆豐金,1304台聚,1216統一,2303聯電,1314中石化,2539櫻花建,3019亞光,3034聯詠,4935茂林-KY,4123晟德,1789神隆,4943康控-KY,1904正隆,6274台燿,,,
3,"('4966譜瑞-KY', 9)",1476儒鴻,6223旺矽,5469瀚宇博,1476儒鴻,4935茂林-KY,2891中信金,1326台化,2392正崴,2618長榮航,6239力成,2049上銀,9930中聯資源,2885元大金,1104環泥,2408南亞科,2355敬鵬,3036文曄,,,
4,"('9941裕融', 9)",9938百和,4123晟德,1304台聚,1234黑松,1102亞泥,2884玉山金,2881富邦金,2834臺企銀,4414如興,6147頎邦,9941裕融,2204中華,6244茂迪,5469瀚宇博,3532台勝科,2637慧洋-KY,2439美律,,,
5,"('3023信邦', 9)",3227原相,2428興勤,2723美食-KY,6579研揚,6223旺矽,2382廣達,2002中鋼,3706神達,1314中石化,2023燁輝,9908大台北,5508永信建,6239力成,1304台聚,2498宏達電,3023信邦,1507永大,,,
6,"('5274信驊', 9)",2404漢唐,1476儒鴻,2501國建,3037欣興,3078僑威,6488環球晶,1216統一,4306炎洲,1444力麗,3034聯詠,8086宏捷科,2885元大金,6147頎邦,2723美食-KY,3017奇鋐,3324雙鴻,4142國光生,,,
7,"('3105穩懋', 9)",2345智邦,5508永信建,2886兆豐金,2345智邦,2428興勤,2395研華,2891中信金,5469瀚宇博,3016嘉晶,6548長科*,1201味全,3227原相,2023燁輝,2501國建,3189景碩,6462神盾,2855統一證,,,
8,"('2637慧洋-KY', 9)",6239力成,9938百和,4935茂林-KY,1218泰山,1476儒鴻,5347世界,2884玉山金,6005群益證,2103台橡,9941裕融,3042晶技,6244茂迪,8299群聯,2886兆豐金,,8415大國鋼,2455全新,,,
9,"('2707晶華', 9)",8299群聯,3227原相,1102亞泥,2340光磊,2474可成,4938和碩,6488環球晶,,4142國光生,5289宜鼎,4919新唐,2345智邦,6548長科*,4935茂林-KY,,,1305華夏,,,
